x,y,z,F
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
0,6371,0,9.80426704551407
-499.8628845,6351.360352,0,9.80426699143369
-493.7087708,6351.360352,78.19578552,9.804276054562639
-475.3978577,6351.360352,154.4661255,9.80429883698337
-445.3811035,6351.360352,226.9330139,9.804333216682203
-404.397583,6351.360352,293.8120422,9.804375963114781
-353.4564514,6351.360352,353.4564514,9.804423002619005
-293.8120422,6351.360352,404.397583,9.804469836564824
-226.9330139,6351.360352,445.3811035,9.804511965996259
-154.4661255,6351.360352,475.3978577,9.804545342587133
-78.19578552,6351.360352,493.7087708,9.80456674059393
-3.06E-14,6351.360352,499.8628845,9.804574118784203
78.19578552,6351.360352,493.7087708,9.80456674059393
154.4661255,6351.360352,475.3978577,9.804545342587133
226.9330139,6351.360352,445.3811035,9.804511965996259
293.8120422,6351.360352,404.397583,9.804469836564824
353.4564514,6351.360352,353.4564514,9.804423002619005
404.397583,6351.360352,293.8120422,9.804375963114781
445.3811035,6351.360352,226.9330139,9.804333216682203
475.3978577,6351.360352,154.4661255,9.80429883698337
493.7087708,6351.360352,78.19578552,9.804276054562639
499.8628845,6351.360352,6.12E-14,9.80426699143369
493.7087708,6351.360352,-78.19578552,9.804272377334419
475.3978577,6351.360352,-154.4661255,9.80429157837811
445.3811035,6351.360352,-226.9330139,9.80432256488425
404.397583,6351.360352,-293.8120422,9.804362191949581
353.4564514,6351.360352,-353.4564514,9.804406462291865
293.8120422,6351.360352,-404.397583,9.804450942616846
226.9330139,6351.360352,-445.3811035,9.804491187270173
154.4661255,6351.360352,-475.3978577,9.804523188896201
78.19578552,6351.360352,-493.7087708,9.804543750565381
9.18E-14,6351.360352,-499.8628845,9.804550848098986
-78.19578552,6351.360352,-493.7087708,9.804543750565381
-154.4661255,6351.360352,-475.3978577,9.804523188896201
-226.9330139,6351.360352,-445.3811035,9.804491187270173
